model,cv_recall,cv_accuracy,cv_f1,cv_roc_auc,test_accuracy,test_recall,test_f1,test_roc_auc
Logistic Regression,0.9529411764705882,0.9736263736263737,0.9640480895915677,0.9957688338493291,0.9649122807017544,0.9285714285714286,0.9512195121951219,0.996031746031746
KNN,0.9176470588235294,0.9670329670329672,0.9538389346971436,0.9871001031991744,0.956140350877193,0.9047619047619048,0.9382716049382716,0.982308201058201
SVM,0.9588235294117646,0.9758241758241759,0.9670432721583617,0.9948400412796697,0.9736842105263158,0.9523809523809523,0.963855421686747,0.9947089947089947
Decision Tree,0.8941176470588236,0.923076923076923,0.8961838768798172,0.9172342621259031,0.9298245614035088,0.9047619047619048,0.9047619047619048,0.9246031746031745
Random Forest,0.9411764705882353,0.964835164835165,0.9519447457150247,0.9889060887512899,0.9736842105263158,0.9285714285714286,0.9629629629629629,0.9928902116402116
